"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
"07","27800","067","37","Horta-Guinardó","el Carmel","147","315","14","190","139","12","29","10884","9546","1338","","","4772","03/03/2023 00:02:11"
"07","27810","058","36","Horta-Guinardó","la Font d'en Fargues","145","540","42","438","226","136","37","24709","21343","3366","","","18417","03/03/2023 00:02:11"
"07","27820","056","36","Horta-Guinardó","la Font d'en Fargues","145","245","45","219","108","62","30","12133","9763","2370","","","10561","03/03/2023 00:02:11"
"07","27830","058","36","Horta-Guinardó","la Font d'en Fargues","145","313","51","470","138","213","38","19726","13765","5961","","","14780","03/03/2023 00:02:11"
"07","27840","067","37","Horta-Guinardó","el Carmel","147","367","21","284","97","53","53","16260","14192","2068","","","4753","03/03/2023 00:02:11"
"07","27851","070","37","Horta-Guinardó","el Carmel","147","0","1","4","0","0","4","3595","3595","0","","","3482","03/03/2023 00:02:11"
"07","27852","058","36","Horta-Guinardó","la Font d'en Fargues","145","374","44","350","191","56","58","17982","14702","3280","","","14933","03/03/2023 00:02:11"
"07","27860","057","36","Horta-Guinardó","la Font d'en Fargues","145","294","46","228","127","43","21","12809","11125","1684","","","10580","03/03/2023 00:02:11"
"07","27870","057","36","Horta-Guinardó","la Font d'en Fargues","145","140","11","140","72","28","24","7402","6548","854","","","7006","03/03/2023 00:02:11"
"07","27882","057","36","Horta-Guinardó","la Font d'en Fargues","145","317","33","255","110","13","104","36021","33749","2272","","","27319","03/03/2023 00:02:11"
"07","27883","122","43","Horta-Guinardó","Horta","156","19","7","23","6","3","5","2138","1949","189","","","4553","03/03/2023 00:02:11"
"07","27890","057","36","Horta-Guinardó","la Font d'en Fargues","145","136","15","117","72","24","11","7518","6238","1280","","","4619","03/03/2023 00:02:11"
"07","27900","057","36","Horta-Guinardó","la Font d'en Fargues","145","307","39","294","116","80","19","14165","12512","1653","","","10617","03/03/2023 00:02:11"
"07","27910","058","36","Horta-Guinardó","la Font d'en Fargues","145","126","11","104","59","37","3","6020","4882","1138","","","4633","03/03/2023 00:02:11"
"07","27920","070","37","Horta-Guinardó","el Carmel","147","332","14","214","82","22","27","12265","11869","396","","","2897","03/03/2023 00:02:11"
"07","27930","068","37","Horta-Guinardó","el Carmel","147","845","33","481","313","82","38","27662","25863","1799","","","7306","03/03/2023 00:02:11"
"07","27940","069","37","Horta-Guinardó","el Carmel","147","489","18","367","218","65","51","21326","19135","2191","","","5273","03/03/2023 00:02:11"
"07","27950","070","37","Horta-Guinardó","el Carmel","147","445","17","594","135","51","358","30032","21073","8959","","","7316","03/03/2023 00:02:11"
"07","27961","070","37","Horta-Guinardó","el Carmel","147","129","3","178","51","99","27","10368","7520","2848","","","1615","03/03/2023 00:02:11"
"07","27962","070","37","Horta-Guinardó","el Carmel","147","159","25","94","65","2","21","7123","6963","160","","","3503","03/03/2023 00:02:11"
"07","27971","070","37","Horta-Guinardó","el Carmel","147","103","6","113","34","39","34","6816","5841","975","","","1975","03/03/2023 00:02:11"
"07","27972","070","37","Horta-Guinardó","el Carmel","147","255","27","137","94","7","14","8657","7923","734","","","3311","03/03/2023 00:02:11"
"07","27981","070","37","Horta-Guinardó","el Carmel","147","0","2","3","0","0","3","2282","0","2282","","","3533","03/03/2023 00:02:11"
"07","27982","070","37","Horta-Guinardó","el Carmel","147","0","1","0","0","0","0","0","0","0","","","1198","03/03/2023 00:02:11"
"07","27992","122","43","Horta-Guinardó","Horta","156","198","12","125","91","1","26","13791","12337","1454","","","4294","03/03/2023 00:02:11"
"07","28001","120","43","Horta-Guinardó","Horta","156","44","13","44","22","9","3","2520","2001","519","","","2883","03/03/2023 00:02:11"
"07","28005","120","43","Horta-Guinardó","Horta","156","77","48","103","34","0","3","4316","4283","33","","","12381","03/03/2023 00:02:11"
"07","28010","120","43","Horta-Guinardó","Horta","156","62","17","73","25","19","2","3746","3125","621","","","4149","03/03/2023 00:02:11"
"07","28021","071","37","Horta-Guinardó","el Carmel","148","0","1","247","0","247","0","5928","0","5928","","","7586","03/03/2023 00:02:11"
"07","28030","071","37","Horta-Guinardó","el Carmel","148","508","24","311","210","41","36","20997","19358","1639","","","5699","03/03/2023 00:02:11"
"07","28041","075","37","Horta-Guinardó","el Carmel","148","724","17","568","296","203","56","31093","28339","2754","","","6202","03/03/2023 00:02:11"
"07","28042","075","37","Horta-Guinardó","el Carmel","148","0","1","0","0","0","0","0","0","0","","","1649","03/03/2023 00:02:11"
"07","28050","075","37","Horta-Guinardó","el Carmel","148","402","13","215","122","0","39","13342","12740","602","","","3709","03/03/2023 00:02:11"
"07","28060","075","37","Horta-Guinardó","el Carmel","148","100","17","69","40","1","17","4236","4236","0","","","1489","03/03/2023 00:02:11"
"07","28070","076","37","Horta-Guinardó","el Carmel","148","219","16","128","77","1","18","9095","8903","192","","","2547","03/03/2023 00:02:11"
"07","28080","076","37","Horta-Guinardó","el Carmel","148","340","13","187","142","1","25","12413","11655","758","","","2973","03/03/2023 00:02:11"
"07","28090","076","37","Horta-Guinardó","el Carmel","148","174","20","137","85","1","36","9934","9153","781","","","4283","03/03/2023 00:02:11"
"07","28100","076","37","Horta-Guinardó","el Carmel","148","174","17","94","72","0","13","6406","6267","245","","","2952","03/03/2023 00:02:11"
"07","28110","076","37","Horta-Guinardó","el Carmel","148","90","11","62","43","0","18","3715","3530","185","","","1852","03/03/2023 00:02:11"
"07","28120","076","37","Horta-Guinardó","el Carmel","148","395","14","251","170","44","33","17592","16387","1205","","","7587","03/03/2023 00:02:11"
"07","28130","077","37","Horta-Guinardó","el Carmel","148","542","21","352","239","59","35","18881","16465","2416","","","4708","03/03/2023 00:02:11"
"07","28140","077","37","Horta-Guinardó","el Carmel","148","773","61","574","336","138","72","33980","28793","5187","","","8031","03/03/2023 00:02:11"
"07","28150","078","37","Horta-Guinardó","el Carmel","148","145","10","98","54","29","8","6042","5325","717","","","1433","03/03/2023 00:02:11"
"07","28160","083","38","Horta-Guinardó","la Teixonera","149","658","14","467","320","117","24","27653","24156","3497","","","7121","03/03/2023 00:02:11"
